,actual,bayes,bayes_ae,rf,rf_ae
6302,0.2357375722939617,0.2207993082132132,0.014938264080748498,0.3216530528470048,0.0859154805530431
6303,-1.4407145330183893,-1.6096898758625253,0.16897534284413607,-1.9263937946547731,0.48567926163638386
6304,0.21412204164897347,-0.5419113025057053,0.7560333441546787,-0.11948561820839144,0.3336076598573649
6305,-2.372717795300813,-2.6842195221127256,0.3115017268119127,-2.4981249374282135,0.12540714212740056
6306,1.7092908384103116,1.2215895420665615,0.48770129634375015,1.7908272879001192,0.08153644948980765
6307,0.20106590827639625,1.653152047177743,1.4520861389013469,0.4243002215361587,0.22323431325976245
6308,-1.5456269386101218,-2.3731893798494683,0.8275624412393465,-2.053719208949633,0.508092270339511
6309,3.3698927311829574,3.0679512757024687,0.3019414554804887,3.140175861620758,0.2297168695621994
6310,-0.1846343884496035,1.0481609088231647,1.2327952972727683,0.1271235878675385,0.31175797631714197
6311,0.5226264763069001,-0.2275099280706689,0.7501364043775689,0.5724945228697207,0.04986804656282062
6312,0.8269160057111474,0.8296423021152837,0.0027262964041362414,1.039941114353652,0.21302510864250468
6313,0.2595125309733244,0.43502714256976843,0.17551461159644405,0.6795389744451781,0.4200264434718537
6314,-0.31249921761190474,-0.8546425287082751,0.5421433110963703,-0.8418701816605785,0.5293709640486737
6315,-0.28978113169367103,-0.2159573268943868,0.07382380479928424,-0.2693754844496988,0.020405647243972258
6316,0.3305101303905239,0.2969018197116731,0.033608310678850783,0.08460634525479738,0.24590378513572653
6317,0.3622012100032699,1.2951811448559094,0.9329799348526395,0.8914615442252951,0.5292603342220252
6318,-0.1154500030821211,0.6376829257775851,0.7531329288597062,0.3297912458041616,0.4452412488862827
6319,2.6278038689462804,2.9084297311598797,0.2806258622135993,2.600508287222778,0.027295581723502327
6320,-0.6187996607774493,0.4586173209487691,1.0774169817262185,-0.43382229293486385,0.18497736784258545
6321,-0.4138740588499868,-1.313598594584875,0.8997245357348882,-0.781789387933858,0.3679153290838712
6322,-0.16744930312964473,-0.13753277441735953,0.0299165287122852,-0.6638607015503628,0.4964113984207181
6323,0.5296431050297263,1.1280913744406311,0.5984482694109048,0.42394249376459214,0.10570061126513419
6324,1.362155471153529,2.103529407668143,0.7413739365146137,1.533573632260694,0.171418161107165
6325,-0.6335915533129344,-0.2922825695684411,0.34130898374449326,-0.18947038128748867,0.4441211720254457
6326,0.07600599929072682,-0.36124936647755346,0.4372553657682803,-0.22930793502103627,0.3053139343117631
6327,-0.3313172729790752,0.05820850589599963,0.38952577887507484,-0.44768963531989336,0.11637236234081816
6328,-0.07655881823787207,0.19165916964485052,0.2682179878827226,-0.1706359354543998,0.09407711721652774
6329,0.06766740778589479,0.7616389657594511,0.6939715579735564,0.6213144250520394,0.5536470172661446
6330,-0.03649228281676402,0.5398580305732728,0.5763503133900367,0.5455617682889323,0.5820540511056963
6331,1.7125130342832886,2.579241229087846,0.8667281948045575,1.9246605667525758,0.2121475324692872
6332,-0.3805490544817664,0.25683132148510296,0.6373803759668694,-0.30872110881842757,0.07182794566333883
6333,-2.672915556598781,-3.6478868567472533,0.9749713001484723,-3.001941977795284,0.3290264211965028
6334,-1.0455366866822349,-2.7076583257922624,1.6621216391100275,-1.4201893074541845,0.3746526207719496
6335,0.9884637593283204,1.617030226588772,0.6285664672604515,1.4061647568569002,0.4177009975285798
6336,1.0122050476374551,2.0266119450975584,1.0144068974601033,1.0991218506095315,0.08691680297207638
6337,0.3697586944245055,1.3048923319926367,0.9351336375681312,1.2868756642245947,0.9171169698000892
6338,-0.6933658457156054,-0.9502658545272706,0.2569000088116652,-0.5766127591192434,0.11675308659636208
6339,1.893721746626987,1.6160701665529804,0.2776515800740065,2.2874418618069456,0.39372011517995875
6340,-0.0053063716646666965,0.7040577851095691,0.7093641567742358,0.017779215006694535,0.023085586671361232
6341,0.0885882668859392,-0.21908938355498295,0.30767765044092216,-0.19997371054472834,0.2885619774306675
6342,0.8202143734654874,1.115210636636514,0.29499626317102656,1.0336685013589864,0.21345412789349894
6343,0.18690232815961674,0.008705873995383667,0.17819645416423308,0.4154125378708724,0.22851020971125566
6344,0.3013138174945815,0.5701300891132677,0.26881627161868615,0.37465257394188983,0.0733387564473083
6345,0.4162218622591504,0.18596881823465017,0.23025304402450025,0.4931900640981423,0.07696820183899189
6346,0.30768528234771764,0.785363225327721,0.4776779429800033,0.45417946966547557,0.14649418731775793
6347,-0.4632261808468248,-0.9379951406195337,0.4747689597727089,-0.924622518982131,0.46139633813530617
6348,0.2464416894088307,0.2245899406955552,0.0218517487132755,0.14258464500442253,0.10385704440440818
6349,0.7471581404874399,0.8468744381231803,0.09971629763574041,0.9364743376651624,0.18931619717772252
6350,-0.07774332245802232,0.5908622105489552,0.6686055330069774,0.17735719090136073,0.25510051335938305
6351,0.2422229043767929,0.40360018671441494,0.16137728233762205,0.31402855976028016,0.07180565538348727
6352,-0.2849246338418026,-0.6740226315788725,0.38909799773706993,-0.49021713431512864,0.20529250047332603
6353,-0.6026260661688578,-0.6331794597828402,0.03055339361398235,-1.0054572534946586,0.4028311873258008
6354,-0.5205851981651701,-0.6751990693065524,0.15461387114138225,-0.6301688234652004,0.1095836253000303
6355,0.7474412818461159,0.36091465727372535,0.38652662457239056,0.7378434718542215,0.009597809991894413
6356,-0.16728530816400355,0.005847256539253942,0.1731325647032575,0.27283171729781386,0.4401170254618174
6357,0.4186005126792789,0.6425289882381438,0.22392847555886486,0.6582342284693835,0.23963371579010462
6358,0.13013339580231406,0.10188561468516644,0.028247781117147625,0.006921071138028856,0.12321232466428521
6359,0.8476458229689617,1.3887154231911347,0.541069600222173,1.076133402270195,0.2284875793012332
6360,-0.24500785424080115,-0.2637981362908895,0.01879028205008834,-0.22511764366811965,0.019890210572681505
6361,1.1267900377897682,1.128053086265167,0.0012630484753988203,1.7214984489648932,0.5947084111751251
6362,-1.5652705103297633,-2.0547922976224458,0.4895217872926825,-1.9986698503055547,0.4333993399757914
6363,-0.4647552599508029,-1.9616756448948574,1.4969203849440544,-1.9836135724093522,1.5188583124585493
6364,-1.6085773430457813,-1.9270570876837245,0.31847974463794326,-2.0435529287980416,0.43497558575226036
6365,-0.1541646364885524,-0.7760020154487479,0.6218373789601955,-0.05549088260685686,0.09867375388169553
