,MLP_6_actual,MLP_6_predicted,MLP_6_AE,MLP_6_MAE,MLP_6_SPREAD
2871,0.9219585657252984,0.7995198,0.12243878842732481,0.24906123583142967,0.3022927800834
2872,1.3586502260564004,1.1537632,0.20488705104571925,0.24906123583142967,0.3022927800834
2873,0.1256539638886106,0.09942341,0.026230555380309828,0.24906123583142967,0.3022927800834
2874,-0.4960235856829698,-0.6830128,0.1869891978444045,0.24906123583142967,0.3022927800834
2875,0.8429394125859255,0.61712617,0.2258132457653994,0.24906123583142967,0.3022927800834
2876,-0.06147461800035329,0.24661843,0.3080930527871499,0.24906123583142967,0.3022927800834
2877,-0.9718743395388232,-1.3866102,0.41473581079839605,0.24906123583142967,0.3022927800834
2878,0.4680776534510181,0.47840837,0.01033071299070859,0.24906123583142967,0.3022927800834
2879,0.34451275834639983,0.40288943,0.05837667217651887,0.24906123583142967,0.3022927800834
2880,0.326482618173851,0.3537794,0.0272967871816025,0.24906123583142967,0.3022927800834
2881,-0.030924119682823038,0.07291429,0.10383840713075242,0.24906123583142967,0.3022927800834
2882,1.0662260834547534,0.9187943,0.1474318091246143,0.24906123583142967,0.3022927800834
2883,0.9696032112191808,0.82875156,0.1408516471933019,0.24906123583142967,0.3022927800834
2884,-1.486864577860593,-1.4185429,0.06832171592211633,0.24906123583142967,0.3022927800834
2885,-1.0910995557350565,-1.5561947,0.46509510731273407,0.24906123583142967,0.3022927800834
2886,0.4189846889169063,0.5012741,0.08228941996981243,0.24906123583142967,0.3022927800834
2887,-1.7860590954331883,-1.9255772,0.13951806826310076,0.24906123583142967,0.3022927800834
2888,0.14098457438901646,-0.11880514,0.2597897146458982,0.24906123583142967,0.3022927800834
2889,0.06931871610952357,0.25147957,0.18216084998773596,0.24906123583142967,0.3022927800834
2890,1.0803759030030589,1.0057641,0.07461177622540993,0.24906123583142967,0.3022927800834
2891,0.301257092526475,0.31284073,0.011583637425383542,0.24906123583142967,0.3022927800834
2892,0.5919217236206911,0.29646108,0.29546064807633377,0.24906123583142967,0.3022927800834
2893,-1.2402793241277519,-1.3977515,0.15747212641088337,0.24906123583142967,0.3022927800834
2894,0.1478128580675397,0.119730085,0.028082772933033462,0.24906123583142967,0.3022927800834
2895,-0.7650479180153457,-0.89193887,0.12689094716943827,0.24906123583142967,0.3022927800834
2896,-0.3388175182389649,-0.41452765,0.07571013640886226,0.24906123583142967,0.3022927800834
2897,-1.9882367902691367,-1.7470874,0.24114943084073093,0.24906123583142967,0.3022927800834
2898,0.1737236065815892,0.41061306,0.2368894534159694,0.24906123583142967,0.3022927800834
2899,-0.6533480532524836,-0.5865716,0.06677647904136297,0.24906123583142967,0.3022927800834
2900,-1.7846484365676072,-2.1656759,0.3810274419571731,0.24906123583142967,0.3022927800834
2901,0.9662818622275388,0.88735825,0.07892361399374359,0.24906123583142967,0.3022927800834
2902,0.7565664342310859,0.7947882,0.03822174755068286,0.24906123583142967,0.3022927800834
2903,-0.5238472433983201,-0.62903124,0.10518399754177388,0.24906123583142967,0.3022927800834
2904,0.9848656230369548,0.85344785,0.13141776851806442,0.24906123583142967,0.3022927800834
2905,-0.9895293585474796,-0.95182246,0.0377068988497562,0.24906123583142967,0.3022927800834
2906,-0.11502953963221894,-0.26224208,0.14721253914890897,0.24906123583142967,0.3022927800834
2907,-2.123588335480332,-2.6426055,0.5190172076562645,0.24906123583142967,0.3022927800834
2908,0.16751721729474794,-0.03832301,0.20584022854405176,0.24906123583142967,0.3022927800834
2909,-0.8103835922868655,-0.7426784,0.0677051884324954,0.24906123583142967,0.3022927800834
2910,1.2512092058995723,0.8802558,0.3709533875325679,0.24906123583142967,0.3022927800834
2911,-2.3911087277700487,-2.1283572,0.2627515557577196,0.24906123583142967,0.3022927800834
2912,-0.5834717449447856,-1.4661134,0.8826417031982198,0.24906123583142967,0.3022927800834
2913,-0.05590754065214972,0.33124498,0.38715251598059514,0.24906123583142967,0.3022927800834
2914,-1.5951196826649543,-1.7285252,0.13340547907820977,0.24906123583142967,0.3022927800834
2915,-0.166563007705037,-0.23705256,0.07048955214756311,0.24906123583142967,0.3022927800834
2916,0.7663298098888759,0.9615688,0.19523896290394027,0.24906123583142967,0.3022927800834
2917,-1.2831855006662845,-2.139792,0.8566064648183347,0.24906123583142967,0.3022927800834
2918,1.9696413199158047,2.1845615,0.21492017109676853,0.24906123583142967,0.3022927800834
2919,-1.4281334284485792,-1.0750905,0.3530429009140943,0.24906123583142967,0.3022927800834
2920,1.3014667931488932,0.9368258,0.3646409812859477,0.24906123583142967,0.3022927800834
