,open,high,low,close,volume,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr
811,4717.58984375,4865.72021484375,4705.2900390625,4836.89990234375,547576900,4862.900639208739,4666.26396484375,4469.62729047876,4691.632960096946,4490.347979221185,4240.655424804688,3951.3529028320313,4391.402043326454,25.132077644163566,131.04348416913308,99.70122473595907,31.342259433174007,561.19970703125,74.85496987635017,89.61043120092977,86.27892506612989,-4.069455983287542
812,4843.68994140625,4913.02001953125,4819.419921875,4886.5,560272400,4960.740495867797,4730.26796875,4499.795441632204,4756.58864006463,4528.076743104882,4265.445625,3954.2446533203124,4457.806587338876,26.577117508811245,146.34673220291825,109.0303262293509,37.31640597356734,525.81982421875,76.30675468277826,94.54266255900814,90.8721593110477,-3.5102130506015374
813,4882.39013671875,4934.93994140625,4827.18017578125,4827.18017578125,496305900,4980.4166662387415,4772.2900390625,4564.1634118862585,4780.119151970171,4556.562784312155,4287.737026367187,3955.9421044921874,4530.640736489656,28.03326413253371,151.93662166831564,117.61158531714385,34.32503635117179,382.47021484375,71.02516854652852,88.49775167851594,90.88361514615129,-14.76383365165589
814,4837.0498046875,4990.56982421875,4827.2998046875,4937.330078125,544410300,4989.73114273589,4840.16201171875,4690.592880701611,4832.52279402178,4592.826336103854,4309.460029296875,3957.50310546875,4603.414593374643,29.666221397712967,163.3715800214095,126.76358425799698,36.60799576341252,426.93994140625,74.54800268797428,86.03842351373135,89.69294591708514,-7.02213904266802
815,4935.22021484375,4953.4599609375,4834.16015625,4929.91015625,455881900,4974.79586000808,4883.5640625,4792.332264991919,4864.985248097853,4624.929557070154,4330.718432617187,3959.5850073242186,4680.845639543464,31.182538858236562,169.87690598868994,135.38624860413557,34.49065738455437,343.81005859375,73.89623401305249,80.8392506890765,85.12514196044127,-8.003651640693501
816,4933.740234375,4954.41015625,4783.7998046875,4783.7998046875,415624000,4991.65542511965,4872.94404296875,4754.23266081785,4837.923433627736,4640.060056843235,4348.673828125,3959.4027075195313,4742.790476478522,31.812283803537543,161.38222557073368,140.5854439974552,20.79678157327848,179.22998046875,62.33833250741922,54.83651365676357,73.9047292865238,-33.562225228673945
817,4756.68017578125,4874.89013671875,4726.330078125,4837.81005859375,449554300,4983.844294473875,4863.2060546875,4742.567814901125,4837.885641949741,4658.8933903432835,4365.668627929687,3960.6752075195313,4990.56982421875,31.581987865142782,157.1962457763002,143.9076043532242,13.288641423076001,271.330078125,64.54584772205165,40.30857747991725,58.66144727525244,-27.763904049412957
818,4853.60009765625,5020.47021484375,4850.52978515625,5005.93017578125,436334900,5056.115793588936,4898.9560546875,4741.796315786064,4893.900486560244,4691.944512765947,4387.58123046875,3961.1545092773435,4726.330078125,32.29600931383782,165.53651316853848,148.23338611628705,17.303127052251426,388.8603515625,70.36810884210713,45.748572338143084,46.96455449160797,-2.5263725877799517
819,5028.490234375,5035.39013671875,4888.02978515625,4986.5,616216000,5079.861532554822,4908.7900390625,4737.718545570178,4924.766991040163,4719.997416312048,4407.41203125,3960.77380859375,4726.330078125,33.041160101088096,168.6344691751383,152.3136027280573,16.320866447080988,388.52978515625,68.95864155757188,73.80891364729355,53.28868782178463,-8.28014574419347
820,4928.14013671875,4967.31005859375,4827.85986328125,4882.580078125,598147100,5069.910530056014,4899.3240234375,4728.737516818986,4910.704686735108,4735.481479341853,4424.75283203125,3959.4318579101564,4738.69248046875,32.93026620439111,160.84997405438116,154.02087699332208,6.8290970610590875,169.68017578125,61.82590229070355,76.59810176197264,65.3851959158031,-25.880262180771094
821,4938.18017578125,5061.83984375,4938.18017578125,5044.1201171875,527831400,5107.44301454356,4951.3880859375,4795.333157331441,4955.176496885905,4764.875635327153,4447.1930322265625,3959.7029077148436,4750.560386718749,33.40263499837005,165.8043473857897,156.3775710718156,9.426776313974102,207.22021484375,67.4602972634223,76.48536888822821,75.63079476583147,-2.872382779633864
822,5060.990234375,5138.02001953125,4980.6201171875,5007.77001953125,534768100,5094.716631587843,4985.380078125,4876.043524662157,4972.70767110102,4788.008433822781,4468.645634765625,3958.7466088867186,4769.237154140625,34.24108765029386,164.89674779097186,158.08140641564685,6.815341375325005,121.27001953125,65.13073372848243,67.76021647258453,73.61456237426181,-18.792922219372873
823,5027.27978515625,5065.169921875,4929.10986328125,4975.56005859375,524161900,5086.759337076583,4979.3060546875,4871.852772298418,4973.65846693193,4805.870493324778,4488.9518359375,3959.0773095703125,4798.739783371875,34.3648384569839,159.73704469698714,158.4125340719149,1.3245106250722358,148.3798828125,63.052946859770856,66.78158488942545,70.34239008341274,-31.142873188812757
