,MLP_actual,MLP_predicted,MLP_AE,MLP_MAE,MLP_SPREAD
312,0.6844820405141212,0.7428712,0.0583891843660973,0.26452615531600854,0.35606704149969365
313,0.8219258801542565,0.65345883,0.1684670464597985,0.26452615531600854,0.35606704149969365
314,-0.7553786943600024,-0.51326513,0.24211356145594964,0.26452615531600854,0.35606704149969365
315,0.8426185575829801,0.5030902,0.33952835477459997,0.26452615531600854,0.35606704149969365
316,1.924277350362262,1.9594531,0.035175755564251565,0.26452615531600854,0.35606704149969365
317,-0.6150503150838404,-0.4067884,0.20826190632758435,0.26452615531600854,0.35606704149969365
318,1.001573872585461,0.3867837,0.6147901833249783,0.26452615531600854,0.35606704149969365
319,0.9829451794671102,0.67694074,0.30600444031229457,0.26452615531600854,0.35606704149969365
320,-1.6646015013932944,-1.50077,0.16383152859208594,0.26452615531600854,0.35606704149969365
321,0.7536270102157486,0.18023735,0.5733896573676956,0.26452615531600854,0.35606704149969365
322,0.05901506705543629,0.18469575,0.1256806834194935,0.26452615531600854,0.35606704149969365
323,0.5396539677082114,0.48829293,0.051361035197835414,0.26452615531600854,0.35606704149969365
324,0.7474637825543186,0.8047129,0.05724910902435576,0.26452615531600854,0.35606704149969365
325,0.85076850799695,0.21626067,0.6345078363813494,0.26452615531600854,0.35606704149969365
326,1.4535470780001347,1.3179679,0.13557918630701948,0.26452615531600854,0.35606704149969365
327,1.7427624423988188,1.7065403,0.03622209625318895,0.26452615531600854,0.35606704149969365
328,-0.6775338422121331,-0.6766227,0.0009111534418388967,0.26452615531600854,0.35606704149969365
329,-0.7970330517985501,-0.70784897,0.08918408567687652,0.26452615531600854,0.35606704149969365
330,0.8524191768405252,1.1057549,0.2533356754543967,0.26452615531600854,0.35606704149969365
333,1.0490842951433008,0.90756947,0.141514827121908,0.26452615531600854,0.35606704149969365
334,-0.16281256870460267,0.34210682,0.5049193878574347,0.26452615531600854,0.35606704149969365
335,-1.2365562399346048,-1.0938311,0.1427251776177103,0.26452615531600854,0.35606704149969365
336,0.6359315583215244,0.46617836,0.1697532007203586,0.26452615531600854,0.35606704149969365
337,1.5262988936228257,1.6076287,0.08132980949454494,0.26452615531600854,0.35606704149969365
338,-0.6311170814778391,-0.37071455,0.2604025362279001,0.26452615531600854,0.35606704149969365
