,open,high,low,close,volume,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr
0,1788.8900146484375,1867.2900390625,1751.6199951171875,1821.2099609375,0,,,,,,,,,,,,,,,,,
1,1852.9200439453125,1939.8199462890625,1764.06005859375,1806.6300048828125,0,,,,,,,,1751.6199951171875,,,,,,,,,
2,1796.1800537109375,1966.75,1796.1800537109375,1966.75,0,,,,,,,,1755.383994140625,,,,,,,,,
3,1935.260009765625,1965.9100341796875,1812.9100341796875,1812.9100341796875,0,,,,,,,,1763.8386343749999,,,,,,,,,
4,1835.81005859375,1920.8800048828125,1803.25,1836.68994140625,0,1968.4589135203785,1848.83798828125,1729.2170630421217,1848.83798828125,,,,1771.9550889999998,,,,,,,,,
5,1850.239990234375,1911.0799560546875,1787.280029296875,1884.6700439453125,0,1980.1947396104115,1861.5300048828126,1742.8652701552137,1860.7820068359376,,,,1779.74688544,,,,,,,,,
6,1911.3399658203125,1962.219970703125,1902.3599853515625,1922.9200439453125,0,1996.6869004253715,1884.7880126953125,1772.8891249652536,1881.4946858723958,,,,1787.2270100224,,,,,,,,,
7,1903.97998046875,1903.97998046875,1532.2900390625,1622.010009765625,0,2024.1034644065776,1815.8400146484375,1607.5765648902975,1794.9997938368056,,,,1966.75,,,,,,,,,
8,1620.1500244140625,1620.1500244140625,1327.97998046875,1327.97998046875,0,2161.7395217523786,1718.85400390625,1275.9684860601214,1639.3265227141203,,,,1962.219970703125,,,,,,,32.089677520749774,47.4076696841312,
9,1405.6700439453125,1523.1700439453125,1402.550048828125,1434.5,0,2111.5375805316366,1638.416015625,1165.2944507183634,1571.0510151427468,,,,1936.85037109375,,,,,,,12.495276164064057,32.169840653721444,
10,1421.22998046875,1496.050048828125,1359.1800537109375,1441.199951171875,0,1968.0281088613165,1549.7219970703125,1131.4158852793084,1527.7673271524561,,,,1912.4955554687501,,,,,-380.010009765625,,11.548729903390518,18.711227862734777,
11,1466.4000244140625,1527.3599853515625,1389.3499755859375,1389.3499755859375,0,1639.4320215729904,1443.0079833984375,1246.5839452238847,1481.6282099636167,,,,1889.11493246875,,,,,-417.280029296875,,15.100234250449981,13.04808010596818,
12,1359.4300537109375,1421.1600341796875,1317.1700439453125,1421.1600341796875,0,1485.7618973493995,1402.83798828125,1319.9140792131006,1461.4721513689735,,,,1866.6695343887502,,,,,-545.5899658203125,,20.942730594464706,15.863898249435062,
13,1417.52001953125,1606.06005859375,1417.52001953125,1564.449951171875,0,1569.8869461628938,1450.131982421875,1330.377018680856,1495.7980846366074,,,,1833.699564962144,,,,,-248.4600830078125,,43.52448898459011,26.52248460983493,-61.93233720934822
14,1521.300048828125,1604.6700439453125,1499.260009765625,1515.3199462890625,0,1594.7492415978772,1466.2959716796875,1337.8427017614977,1502.3053718540925,,,,1802.707793701134,,,,,-321.3699951171875,39.25034500894213,62.836345812646265,42.434521797233685,-69.49568709797629
15,1541.8399658203125,1633.8499755859375,1541.8399658203125,1606.8699951171875,0,1665.0010801661451,1499.42998046875,1333.858880771355,1537.160246275124,,,,1773.5755287157847,,,,,-277.800048828125,43.18719372937086,81.88900132691981,62.74994537471872,-55.401956530277324
16,1631.1600341796875,1707.9599609375,1587.77001953125,1707.9599609375,0,1753.5870941429218,1563.1519775390625,1372.7168609352032,1594.093484495916,,,,1746.1911996295564,,,,,-214.9600830078125,47.25204526841495,86.69014885850572,77.13849866602392,-39.76170378351364
17,1704.18994140625,1714.219970703125,1623.72998046875,1623.72998046875,0,1732.1431488237974,1603.665966796875,1475.1887847699525,1603.9723164868608,,,,1720.4499302885017,,,,,1.719970703125,44.40142919430399,86.99384698836955,85.19099905793168,-52.47500638217465
18,1628.75,1647.8399658203125,1604.949951171875,1619.2900390625,0,1737.0683311300331,1614.633984375,1492.1996376199668,1609.0782240120739,,,,1714.219970703125,,,,,291.31005859375,44.24988980454256,75.11316572923177,82.93238719203566,-53.163316111712376
19,1620.489990234375,1654.1099853515625,1501.8199462890625,1649.8800048828125,0,1713.6316868159126,1641.54599609375,1569.4603053715875,1622.6788176356533,1648.773992919922,,,1714.219970703125,,,,,215.3800048828125,45.626782369593435,65.01587156337594,75.70762809365907,-48.42105283078069
20,1653.52001953125,1657.510009765625,1605.469970703125,1605.469970703125,0,1713.8970923134439,1641.2659912109375,1568.6348901084311,1616.9425353248105,1644.6498003278462,,,1690.3969750976562,,,,,164.27001953125,43.93046569606561,58.115292562874906,66.08144328516084,-50.86996507491865
21,1609.3199462890625,1609.3199462890625,1561.8900146484375,1579.77001953125,0,1661.5952328100936,1615.6280029296875,1569.6607730492813,1604.551696726957,1638.4707735853133,,,1668.0033592285156,,,,,190.4200439453125,42.935653637837994,51.73573734425833,58.28896715683637,-33.862227924269355
22,1572.5799560546875,1627.0799560546875,1568.0899658203125,1571.06005859375,0,1661.7125191835244,1605.0940185546874,1548.4755179258505,1593.3878173492215,1632.0507054908787,,,1657.510009765625,,,,,149.9000244140625,42.58369858442831,43.32404657739042,51.058358828174526,-36.055896868782916
23,1549.81005859375,1577.260009765625,1542.77001953125,1577.260009765625,0,1654.8393231967627,1596.6880126953124,1538.536702193862,1588.0118814880227,1626.8325439932355,,,1637.0896118164062,,,,,12.81005859375,42.94224103437874,43.20932783302364,46.0897039182241,-34.49439269662455
