,open,high,low,close,volume,typical,intra diff,inter diff,derivative,1-direction,1-std_err,5-direction,5-std_err,20-direction,20-std_err
0,2161.52001953125,2169.179931640625,2128.070068359375,2128.070068359375,0.0,2141.7733561197915,-1.5475198411129683,0.0,-7.404998779296875,-1.5002222272167278,6.469822530565871,1.0705770784334778,0.6752064943709963,0.890905614539003,0.16040153007186617
1,2132.070068359375,2140.949951171875,2113.260009765625,2128.330078125,0.0,2127.5133463541665,-0.17541591572799092,0.012218101719998969,2.058746337890625,-1.3192366779930755,5.694213969246413,1.3528382192343116,0.6646654141417447,0.021226998986363273,0.17434012248954758
2,2133.10009765625,2144.219970703125,2132.02001953125,2144.030029296875,0.0,2140.0900065104165,0.5123965655730032,0.7376652396749579,5.62371826171875,1.118673165590228,3.363808997170929,0.759335052271395,0.791022990395282,-0.5508492828650068,0.16193427527934587
3,2150.4599609375,2158.56005859375,2147.860107421875,2154.760009765625,0.0,2153.7267252604165,0.1999594926775749,0.5004584974152088,2.95001220703125,0.21656893447813916,2.580847956171839,-0.6344189984836075,0.5939246025658211,0.5133182371152862,0.11490893866805593
4,2159.2099609375,2190.8701171875,2158.580078125,2188.179931640625,0.0,2179.2100423177085,1.341693083452923,1.5509811637276076,14.899993896484375,1.3897182285095435,8.904198997413127,-1.1174386515753425,0.6450999216506252,0.5953322224469597,0.09144269800935396
5,2192.070068359375,2196.159912109375,2179.840087890625,2183.780029296875,0.0,2186.5933430989585,-0.3781831238955134,-0.20107589326308734,-1.06878662109375,-1.3326265708149028,2.875860899278466,0.09800248428457524,0.911534012415619,-1.1083400959095646,0.1644733002312311
6,2190.320068359375,2210.800048828125,2182.389892578125,2209.169921875,0.0,2200.78662109375,0.8605981284618456,1.1626579709266753,10.619964599609375,1.2293424242278772,7.426697300651263,1.3038409618873419,0.7052667801598123,-0.8189857123177476,0.2030963933444628
7,2217.550048828125,2227.6298828125,2215.139892578125,2227.6298828125,0.0,2223.466552734375,0.4545482069142808,0.83560620460704,5.3411865234375,1.0577266530986462,3.383805691500671,-1.326404745902589,0.9050834614074944,1.084698641529715,0.08241483178929292
9,2233.0,2268.110107421875,2232.760009765625,2266.699951171875,0.0,2255.856689453125,1.5091782880373936,1.7538850892971045,17.056243896484375,1.419861220395168,9.88356645646826,0.8006356508092384,0.5433540183222167,0.07935530716143382,0.14485664708692408
10,2271.300048828125,2284.179931640625,2235.89990234375,2236.909912109375,0.0,2252.3299153645835,-1.5141168484759886,-1.314247130375534,-6.861297607421875,-1.5048638308475248,8.032328785792519,-1.0749674940537544,0.6772195539740866,-1.0982418582745646,0.0794316941401487
11,2234.830078125,2237.949951171875,2216.169921875,2229.6201171875,0.0,2227.913330078125,-0.23312559592320795,-0.3258868353353052,0.768768310546875,-1.3095944967881965,4.554783177033386,-1.3224941105194343,0.9982818952909002,0.4713699488984673,0.2296246300584935
12,2236.25,2258.169921875,2231.0400390625,2255.2900390625,0.0,2248.1666666666665,0.8514271240916714,1.1513137003527174,10.53125,1.2489480875299512,7.1110014947582005,1.401436391208524,0.8578012376355607,0.24712218572407899,0.10560656738027689
14,2252.429931640625,2277.969970703125,2231.139892578125,2274.6201171875,0.0,2261.2433268229165,0.9851665188409263,0.8570994324541649,14.175079345703125,1.1019038898788034,11.847820540765946,1.2967637611725888,0.7737447287357113,0.4848246685052204,0.10905595815963291
15,2280.39990234375,2280.409912109375,2247.889892578125,2249.85009765625,0.0,2259.38330078125,-1.3396687421404252,-1.0889739057560692,-7.39117431640625,-1.4904346486173266,4.748363106042217,-0.6232021137715549,0.6210220075434145,-0.4485460980375636,0.08773071748252463
16,2264.239990234375,2266.2099609375,2221.889892578125,2223.610107421875,0.0,2237.2366536458335,-1.7944159182655517,-1.1662994908731983,-9.696197509765625,-1.5107038107931172,6.528859126838556,0.429397790529488,0.7955222829641346,1.0211096209907793,0.08839956687882487
17,2228.090087890625,2228.489990234375,2206.4599609375,2220.6298828125,0.0,2218.526611328125,-0.33482510957120754,-0.13402640145535083,-0.0438232421875,-1.349318899548851,4.682697058353505,1.3425874676791842,0.5907937253192255,-1.1113043335265649,0.13125249948647733
18,2218.9599609375,2227.639892578125,2201.820068359375,2224.949951171875,0.0,2218.1366373697915,0.2699458457936419,0.19454247611508735,5.473724365234375,-0.6655183802957699,6.327645020496036,-0.8137815406852258,0.36309012603282437,0.3308853865586535,0.13046466575286744
19,2231.840087890625,2238.010009765625,2222.0,2225.0,0.0,2228.336669921875,-0.30647750830077436,0.0022494361321988127,-0.56378173828125,-1.3035967364471688,2.95537924513786,-0.6812196032688165,0.6039341282146602,1.0474992715092362,0.07779263216134683
20,2225.429931640625,2235.610107421875,2225.179931640625,2228.10009765625,0.0,2229.6300455729165,0.11998427709006808,0.13933023174157302,2.305084228515625,-0.23740475082613277,2.6616417888535913,1.1497899230041646,0.6374034140606586,0.7444413734122579,0.09211301976100435
21,2227.1201171875,2227.7900390625,2182.06005859375,2182.06005859375,0.0,2197.3033854166665,-2.02324330178714,-2.0663362077372445,-11.1812744140625,-1.5155764650146553,6.515427569867538,-1.0982623809697756,0.36741621562095306,0.8058598619151488,0.15517205753572047
22,2171.5,2183.7099609375,2134.10009765625,2142.3701171875,0.0,2153.3933919270835,-1.3414636340087498,-1.818920668564392,-4.72247314453125,-1.497932587892667,8.486941603071891,1.2297476726676673,0.29705493114245685,0.40741966891458825,0.08376242383951771
