,Unnamed: 0,open,high,low,close,volume,intra-diff,inter-diff,intra-derivative,inter-derivative,1-rad,1-err,3-rad,3-err,5-rad,5-err,20-rad,20-err,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,2175.201,4771.6277629394535,4824.42346484375,4709.745725830078,4767.817115966797,76936994.3,-0.05121594858901952,-0.041476477614390106,12.90572476196289,-3.2931600341796874,-0.4990634074882869,1.5195420858589346,-0.12728065747761017,1.3205322888859394,-0.09956553836073838,1.1175527468293698,-0.09282889516362805,0.4229189633978037,4904.020044219602,4774.367365576171,4644.714686932743,4774.436224881149,4800.945829533245,4855.979981762695,5067.258260794678,4768.769135817488,23.767976944712284,-25.188411863551067,-25.43496008901279,0.24654822546172722,-34.0007998046875,48.66667928171279,51.031054369944655,51.009123793041795,-49.38969230226867
std,297.53002657835344,1480.8949237089926,1484.7379148614812,1474.9792528593819,1478.5268362501306,37078355.22740602,1.9214257728040018,1.9659989964205253,30.599426049465972,58.1669467571182,1.3556275979713222,0.025792408782113016,1.3661234101423292,0.10065012271950564,1.3319533812351185,0.15568381302067036,1.173654635607758,0.14022308593784572,1491.8064602607665,1480.6259212906882,1472.5965825838337,1479.7136295377811,1487.537524666862,1516.1252321366176,1494.5657222842221,1496.5189872902818,9.788473327391628,86.90076560927241,81.69418503478082,26.810534496304857,253.11572502464603,10.954071065133954,26.573888505560145,24.56318604972193,30.46687819125055
min,1662.0,2203.969970703125,2319.64990234375,2188.75,2202.9599609375,6569700.0,-8.700863880642727,-8.492271256006372,-70.4937744140625,-228.570068359375,-1.5654762939843754,1.3913401494090372,-1.5514159401016825,0.8652735261018697,-1.547990825075254,0.6031768590725965,-1.5255952893208382,0.15860221297648044,2451.8916318512765,2318.960009765625,2149.7108068627867,2323.733405217798,2469.2868365700915,2565.26642578125,2922.171802978516,2188.75,7.656918082674544,-398.0233577988238,-348.17105639789366,-84.90909980416762,-1072.18994140625,16.727187305972592,1.359032909589714,5.4448955510681785,-100.0
25%,1918.75,3456.6925659179688,3492.8949584960938,3398.322509765625,3452.6849365234375,49136825.0,-1.1717063515132835,-1.2492932145806086,-7.201873779296875,-38.96368408203125,-1.534618293846846,1.5086140503377217,-1.4759060518550688,1.2679676383660103,-1.4411924220372916,1.0285165221900023,-1.3235596848734088,0.3159136587390408,3578.558094331723,3460.6794677734374,3332.396308792876,3471.5729237988726,3456.1570120419183,3466.326905517579,3533.339096069336,3439.889892578125,17.041861823393933,-79.63278493095845,-77.9405320961576,-16.951573491225318,-189.532470703125,40.71881045467395,25.81992103577973,28.58900933994756,-77.2409512225641
50%,2176.5,4649.93994140625,4739.06005859375,4595.419921875,4651.169921875,74312850.0,-0.05311313667288234,-0.03876487907231961,8.29998779296875,0.675048828125,-1.450003174041254,1.524450206484922,-0.8916157610704629,1.3384347111000394,-0.7168371065882031,1.1379508227800441,-0.26270601552849654,0.41370247519449155,4858.819989845273,4656.50703125,4511.977927743466,4663.1902640785665,4733.710066045474,4850.8748046875,5078.146689453125,4727.588204542048,21.622380648747253,-7.965067286886324,-13.516470359974734,-1.7259736958912157,-23.905029296875,49.29803915767855,51.0889419637159,51.13858062348761,-48.46820879872445
75%,2432.25,6118.7176513671875,6173.10498046875,6048.3798828125,6120.902587890625,97574500.0,1.0149818322208242,1.081896244761639,29.608047485351562,33.038665771484375,1.3543247064435424,1.5379352104080857,1.4171473391831109,1.3939118059986075,1.3906392728327386,1.2335471543679537,1.1919103149285144,0.5115907504911194,6237.255682400313,6120.242041015626,6030.541373833447,6129.307689062217,6094.641991748947,6105.799802246093,6536.2786328125,6123.527014467301,28.532829807952652,44.38417346416452,42.17310932550896,13.951793957482403,127.15240478515625,57.369893658794446,75.2916346598734,73.59958569513955,-21.191329218914234
max,2690.0,7547.91015625,7571.72021484375,7405.7001953125,7555.919921875,461396100.0,7.679432301243557,7.845208977280666,139.0999755859375,196.77001953125,1.5526343408527497,1.5617791453329564,1.546932182999169,1.5072574754313894,1.5324993489122356,1.4286732705354468,1.481788863841039,0.9074306791336556,7620.5651361492455,7453.01201171875,7328.656049548651,7436.225268120702,7416.822600352994,7615.984599609375,7254.598693847656,7571.72021484375,59.47486174851361,135.88028671781285,120.3733118781946,99.73083027348713,738.4599609375,74.6955531147263,97.98009082693892,94.36447686626076,-0.0
