,open,close,high,low,intra-diff,inter-diff,intra-derivative,inter-derivative,1-rad,1-err,BB-upper,BB-middle,BB-lower,bb-upper,bb-middle,bb-lower,ema5,ema20,ema-cross,sma50,sma200,sma-cross,sar,sar-diff,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,stoch-diff,willr
0,2836.820068359375,3037.699951171875,3050.8798828125,2815.5,7.081164048894907,0.0,-9.64251708984375,223.340087890625,-1.3763574441767903,1.5563282442781192,,,,,,,,,,,,,,,,,,,,,,,,
1,3042.89990234375,3261.0400390625,3286.3701171875,3030.239990234375,7.168823941619988,7.352276112868406,-7.913726806640625,185.0650634765625,-0.9018533120597662,1.5575081179823471,,,,,,,,,,,,,2815.5,445.5400390625,,,,,,,,,,
2,3262.77001953125,3407.830078125,3475.179931640625,3219.60009765625,4.445917356277236,4.501325874695484,-24.607452392578125,88.5250244140625,-1.4112876435875215,1.5555714776572467,,,,,,,,,,,,,2824.91740234375,582.9126757812501,,,,,,,,,,
3,3329.14990234375,3438.090087890625,3452.530029296875,3178.800048828125,3.272312414354793,0.8879553578643852,-58.186187744140625,77.449951171875,-1.5478965749224713,1.5546780206456468,,,,,,,,,,,,,2850.927903515625,587.1621843749999,,,,,,,,,,
4,3453.340087890625,3562.72998046875,3696.570068359375,3448.81005859375,3.167654786208523,3.6252654640180024,-18.42877197265625,164.39990234375,1.4878271527161822,1.5550124419636677,3700.855601679196,3341.47802734375,2982.100453008304,138.12562121044584,221.251953125,580.6295274604458,3341.47802734375,,,,,,2875.897984640625,686.831995828125,,,,,,,,,,
5,3551.010009765625,3766.889892578125,3836.909912109375,3544.489990234375,6.079393812431089,5.730434616953867,-11.197509765625,421.39501953125,1.375154334648156,1.558574290541457,3826.480686614097,3487.316015625,3148.151344635903,59.59079403597207,279.5738769531249,618.7385479422219,3483.281982421875,,,,,,2925.13830966375,841.7515829143749,,,,,,,,,,
6,3782.7099609375,4405.52001953125,4477.7001953125,3782.590087890625,16.46465272318668,16.953777391035857,-9.067474365234375,76.4500732421875,1.4324498731879487,1.566010389377819,4450.362804207776,3716.21201171875,2982.061219229724,44.84278467652621,689.3080078124999,1423.458800301526,3790.6946614583335,,,,,,2998.0800378594,1407.43998167185,,,,,,,,,,
7,4422.169921875,3919.7900390625,4460.14990234375,3849.889892578125,-11.360483465987913,-11.025485715995725,-282.1499938964844,-125.31494140625,-1.5622966011115589,1.5643873543421023,4492.485731552797,3818.60400390625,3144.722276259703,572.695692490297,101.18603515625,775.067762802797,3833.7264539930557,,,,,,3146.04205360471,773.74798545779,,,,,,,,,,
8,3942.510009765625,4154.89013671875,4196.75,3783.050048828125,5.386926765615254,5.997772720308232,-65.02996826171875,-83.0650634765625,-1.5478918761886795,1.560897913088801,4550.645788086749,3961.964013671875,3373.2822392570006,395.75565136799923,192.9261230468751,781.6078974617494,3940.7810149016204,,,,,,3279.207867775489,875.6822689432611,,,,,,,73.37196072957987,81.49982630108123,-8.12786557150136,
9,4154.6298828125,3753.659912109375,4363.740234375,3366.030029296875,-9.651159838856358,-9.656819107285456,-371.9849853515625,-91.405029296875,-1.565100716899823,1.5659847835981273,4498.061419520517,4000.15,3502.238580479483,744.4015074111421,-246.4900878906251,251.42133162989194,3878.407313970872,,,,,,4477.7001953125,-724.040283203125,,,,,,,53.51401664528323,69.27425236718771,-15.760235721904486,
10,3802.72998046875,3972.080078125,3986.3701171875,3645.830078125,4.45338213667684,5.8188586907140305,-60.62371826171875,235.3199462890625,-1.548889691196285,1.5585792964279372,4486.4760494895245,4041.188037109375,3595.9000247292247,514.3959713645245,-69.10795898437482,376.1800533957753,3909.6315686889147,,,,,,4455.466791992188,-483.3867138671876,,,,,934.380126953125,,52.6705431832119,59.85217351935833,-7.1816303361464335,
11,4000.0400390625,4224.2998046875,4320.0400390625,4000.0400390625,5.606438021494413,6.349814746976577,-11.967529296875,235.224853515625,1.466724399780093,1.5594870417184232,4342.079860186774,4004.943994140625,3667.8081280944766,117.78005549927366,219.3558105468751,556.4916765930234,4014.520980688443,,,,,,4433.678056738281,-209.37825205078116,,,,,963.259765625,,55.94335711955117,54.0426389826821,1.9007181368690738,
12,4270.68994140625,4442.52978515625,4458.33984375,4069.64990234375,4.0237021677442755,5.166062792858376,-77.36627197265625,234.780029296875,-1.5537711904962763,1.5597289851131677,4575.6717371921395,4109.491943359375,3643.3121495266105,133.14195203588952,333.037841796875,799.2176356296395,4157.190582177712,,,,,,3366.030029296875,1076.499755859375,,,,,1034.69970703125,,77.17117645901276,61.92835892059194,15.242817538420816,
13,4481.02001953125,4693.85986328125,4736.08984375,4474.27001953125,4.749807919230513,5.657363940806091,-7.80999755859375,327.360107421875,1.1438257747673857,1.5575767710349422,4882.406447287109,4217.285888671875,3552.1653300566413,188.54658400585868,476.573974609375,1141.6945332246087,4336.080342545558,,,,,,3387.8762255859374,1305.9836376953126,,,,,1255.769775390625,,91.30470315534205,74.80641224463533,16.49829091070673,-2.198802654620671
14,4696.47998046875,5097.25,5136.7900390625,4612.14013671875,8.533412709048738,8.593996166659299,-36.5699462890625,273.68505859375,-1.5239876365598177,1.5639948144400682,5261.283274267583,4486.00390625,3710.724538232417,164.03327426758278,611.24609375,1386.5254617675828,4589.803561697038,,,,,,3441.8047703125,1655.4452296875002,,,,,1534.52001953125,76.86273535773867,97.6060906755121,88.69399009662231,8.912100578889792,-1.8770044929384018
