,open,high,low,close,adjclose,volume,ticker
1999-05-06,5276.2001953125,5322.60986328125,5190.10986328125,5249.240234375,5249.240234375,0,^GDAXI
1999-05-13,5278.93017578125,5308.4599609375,5090.39013671875,5243.2099609375,5243.2099609375,0,^GDAXI
1999-05-20,5244.1201171875,5273.06982421875,5055.93994140625,5064.31005859375,5064.31005859375,0,^GDAXI
1999-05-27,5028.81982421875,5116.3701171875,4969.56982421875,5040.33984375,5040.33984375,0,^GDAXI
1999-06-03,5067.509765625,5291.3701171875,5034.419921875,5201.490234375,5201.490234375,0,^GDAXI
1999-06-10,5209.47998046875,5428.25,5201.47021484375,5415.509765625,5415.509765625,0,^GDAXI
1999-06-17,5416.419921875,5506.25,5321.64013671875,5327.60009765625,5327.60009765625,0,^GDAXI
1999-06-24,5318.89013671875,5498.10986328125,5283.72998046875,5480.22021484375,5480.22021484375,0,^GDAXI
1999-07-01,5489.8798828125,5649.89013671875,5456.18994140625,5607.10009765625,5607.10009765625,0,^GDAXI
1999-07-08,5598.509765625,5686.5498046875,5553.419921875,5619.259765625,5619.259765625,0,^GDAXI
1999-07-15,5644.85009765625,5654.85009765625,5320.77978515625,5340.91015625,5340.91015625,0,^GDAXI
1999-07-22,5349.0400390625,5391.52001953125,5035.2001953125,5052.31982421875,5052.31982421875,0,^GDAXI
1999-07-29,5050.5498046875,5149.10009765625,4948.080078125,4978.4501953125,4978.4501953125,0,^GDAXI
1999-08-05,5013.3798828125,5149.18994140625,4974.97998046875,5127.43017578125,5127.43017578125,0,^GDAXI
1999-08-12,5111.02001953125,5301.490234375,5089.43994140625,5186.85009765625,5186.85009765625,0,^GDAXI
1999-08-19,5200.240234375,5455.83984375,5200.240234375,5389.33984375,5389.33984375,0,^GDAXI
1999-08-26,5368.18994140625,5428.9501953125,5184.009765625,5189.919921875,5189.919921875,0,^GDAXI
1999-09-02,5202.5400390625,5448.91015625,5199.68017578125,5436.85986328125,5436.85986328125,0,^GDAXI
1999-09-09,5438.64013671875,5530.759765625,5297.740234375,5304.419921875,5304.419921875,0,^GDAXI
1999-09-16,5331.52001953125,5384.52001953125,5211.7001953125,5299.56982421875,5299.56982421875,0,^GDAXI
1999-09-23,5220.9599609375,5261.85009765625,5069.8701171875,5149.830078125,5149.830078125,0,^GDAXI
1999-09-30,5166.56982421875,5419.39990234375,5078.58984375,5419.31005859375,5419.31005859375,0,^GDAXI
1999-10-07,5409.43994140625,5453.77001953125,5218.52001953125,5220.2900390625,5220.2900390625,0,^GDAXI
1999-10-14,5211.66015625,5326.669921875,5093.83984375,5246.490234375,5246.490234375,0,^GDAXI
1999-10-21,5272.6201171875,5492.97021484375,5268.81005859375,5478.89013671875,5478.89013671875,0,^GDAXI
1999-10-28,5503.18994140625,5650.81982421875,5474.1201171875,5635.6201171875,5635.6201171875,124062400,^GDAXI
1999-11-04,5639.8798828125,5803.83984375,5597.56982421875,5802.35986328125,5802.35986328125,161078000,^GDAXI
1999-11-11,5789.5,5956.41015625,5750.64990234375,5950.0498046875,5950.0498046875,188460600,^GDAXI
1999-11-18,5955.759765625,6032.669921875,5765.35986328125,5961.4501953125,5961.4501953125,193684400,^GDAXI
1999-11-25,5964.97021484375,6023.009765625,5808.9501953125,5937.2001953125,5937.2001953125,170778100,^GDAXI
1999-12-02,5942.08984375,6188.68017578125,5942.08984375,6118.06005859375,6118.06005859375,191656900,^GDAXI
1999-12-09,6121.68017578125,6364.08984375,6067.080078125,6341.2900390625,6341.2900390625,195780600,^GDAXI
1999-12-16,6342.919921875,6798.18994140625,6296.89990234375,6782.39013671875,6782.39013671875,216854900,^GDAXI
1999-12-23,6784.3701171875,6992.919921875,6762.10986328125,6958.14013671875,6958.14013671875,82690900,^GDAXI
1999-12-30,6961.72021484375,7159.330078125,6388.91015625,6474.919921875,6474.919921875,183614300,^GDAXI
2000-01-06,6489.93994140625,7106.4501953125,6470.14013671875,6955.97998046875,6955.97998046875,224754400,^GDAXI
2000-01-13,6960.2900390625,7306.47998046875,6960.2900390625,7112.66015625,7112.66015625,228764500,^GDAXI
2000-01-20,7103.7001953125,7169.8701171875,6809.64013671875,7126.1298828125,7126.1298828125,210116800,^GDAXI
2000-01-27,7128.009765625,7354.56005859375,6816.5400390625,7354.259765625,7354.259765625,228506600,^GDAXI
2000-02-03,7355.68994140625,7709.27001953125,7263.18994140625,7709.27001953125,7709.27001953125,249388900,^GDAXI
2000-02-10,7724.35986328125,7812.08984375,7342.64990234375,7580.52978515625,7580.52978515625,260476900,^GDAXI
2000-02-17,7584.39013671875,7813.2001953125,7447.7099609375,7640.52978515625,7640.52978515625,209575600,^GDAXI
2000-02-24,7668.7001953125,7950.66015625,7492.22998046875,7945.77001953125,7945.77001953125,180625000,^GDAXI
2000-03-02,7952.27978515625,8136.16015625,7874.56982421875,7949.14990234375,7949.14990234375,221436500,^GDAXI
2000-03-09,7952.509765625,8076.31005859375,7411.759765625,7583.9599609375,7583.9599609375,231825400,^GDAXI
2000-03-16,7594.990234375,7949.72021484375,7574.52001953125,7694.77978515625,7694.77978515625,661286000,^GDAXI
2000-03-23,7706.5,8031.2099609375,7610.509765625,7644.89013671875,7644.89013671875,172573500,^GDAXI
2000-03-30,7649.8798828125,7704.27978515625,7205.85986328125,7446.2099609375,7446.2099609375,202590100,^GDAXI
2000-04-06,7470.39013671875,7614.81005859375,7302.81982421875,7449.06005859375,7449.06005859375,149412800,^GDAXI
2000-04-13,7440.0498046875,7440.0498046875,6890.9599609375,7157.9501953125,7157.9501953125,186461400,^GDAXI
2000-04-20,7164.14990234375,7444.27978515625,7096.3798828125,7221.740234375,7221.740234375,82039200,^GDAXI
2000-04-27,7223.27001953125,7571.72021484375,7223.27001953125,7386.7099609375,7386.7099609375,118678600,^GDAXI
2000-05-04,7391.6201171875,7532.97021484375,7013.7001953125,7259.47998046875,7259.47998046875,159797800,^GDAXI
2000-05-11,7269.8701171875,7398.47998046875,7158.5400390625,7181.580078125,7181.580078125,138967900,^GDAXI
2000-05-18,7182.4599609375,7182.4599609375,6794.080078125,6978.8701171875,6978.8701171875,187421200,^GDAXI
2000-05-25,6969.009765625,7277.52001953125,6833.10986328125,7272.759765625,7272.759765625,133301900,^GDAXI
2000-06-01,7286.18994140625,7486.39990234375,7211.97021484375,7243.1298828125,7243.1298828125,158004400,^GDAXI
2000-06-08,7246.4599609375,7388.240234375,7173.64013671875,7328.6201171875,7328.6201171875,121236200,^GDAXI
2000-06-15,7344.43994140625,7368.56982421875,7028.33984375,7053.669921875,7053.669921875,399181300,^GDAXI
2000-06-22,7056.81982421875,7085.27001953125,6851.83984375,6874.5400390625,6874.5400390625,156003800,^GDAXI
2000-06-29,6882.93994140625,7090.10986328125,6842.60986328125,6951.08984375,6951.08984375,174296000,^GDAXI
2000-07-06,6957.009765625,7196.16015625,6919.93994140625,7195.990234375,7195.990234375,161353200,^GDAXI
2000-07-13,7193.22998046875,7491.7998046875,7173.419921875,7480.14013671875,7480.14013671875,192426400,^GDAXI
2000-07-20,7481.18994140625,7503.31982421875,7170.81005859375,7183.43994140625,7183.43994140625,222429500,^GDAXI
2000-07-27,7188.6298828125,7251.8798828125,6954.60009765625,7037.91015625,7037.91015625,183797600,^GDAXI
2000-08-03,7040.25,7318.93994140625,7007.2099609375,7280.97021484375,7280.97021484375,198883600,^GDAXI
2000-08-10,7289.259765625,7380.18994140625,7214.68017578125,7278.43017578125,7278.43017578125,155823200,^GDAXI
2000-08-17,7286.31982421875,7320.60986328125,7147.14990234375,7230.259765625,7230.259765625,165088400,^GDAXI
2000-08-24,7232.3701171875,7395.81005859375,7168.52001953125,7216.4501953125,7216.4501953125,154057800,^GDAXI
2000-08-31,7221.41015625,7456.7099609375,7221.41015625,7373.33984375,7373.33984375,181003800,^GDAXI
2000-09-07,7373.89990234375,7393.8798828125,6994.18017578125,7048.5,7048.5,179822500,^GDAXI
2000-09-14,7048.8798828125,7077.580078125,6581.93017578125,6682.919921875,6682.919921875,310732000,^GDAXI
2000-09-21,6677.830078125,6857.47998046875,6468.4599609375,6832.759765625,6832.759765625,226439400,^GDAXI
2000-09-28,6835.1298828125,6917.169921875,6760.7099609375,6892.490234375,6892.490234375,156221500,^GDAXI
2000-10-05,6895.7099609375,6921.080078125,6383.169921875,6465.259765625,6465.259765625,232436800,^GDAXI
2000-10-12,6452.10986328125,6725.330078125,6297.490234375,6619.43017578125,6619.43017578125,228390000,^GDAXI
2000-10-19,6616.759765625,6858.10009765625,6533.14990234375,6767.89990234375,6767.89990234375,228417700,^GDAXI
2000-10-26,6768.8701171875,7135.89013671875,6768.8701171875,7088.64013671875,7088.64013671875,221698300,^GDAXI
2000-11-02,7092.02001953125,7185.66015625,6930.2900390625,6959.5,6959.5,202526100,^GDAXI
2000-11-09,6962.93994140625,7013.06982421875,6690.60986328125,6842.10986328125,6842.10986328125,197379400,^GDAXI
2000-11-16,6824.0,6839.919921875,6474.5,6601.0,6601.0,190516800,^GDAXI
2000-11-23,6607.97998046875,6804.22021484375,6361.43017578125,6372.330078125,6372.330078125,208960200,^GDAXI
2000-11-30,6379.259765625,6721.89990234375,6343.4501953125,6566.080078125,6566.080078125,230360100,^GDAXI
2000-12-07,6567.990234375,6813.2998046875,6449.580078125,6469.9501953125,6469.9501953125,228272000,^GDAXI
2000-12-14,6455.2099609375,6505.75,6110.259765625,6200.7099609375,6200.7099609375,276339700,^GDAXI
2000-12-21,6210.81005859375,6393.27001953125,6201.43994140625,6371.64013671875,6371.64013671875,70284400,^GDAXI
2000-12-28,6376.10009765625,6556.93994140625,6172.43994140625,6376.5400390625,6376.5400390625,165906500,^GDAXI
2001-01-04,6383.330078125,6485.33984375,6293.490234375,6465.2099609375,6465.2099609375,245815400,^GDAXI
2001-01-11,6480.81982421875,6668.669921875,6452.6201171875,6635.759765625,6635.759765625,253787200,^GDAXI
2001-01-18,6644.419921875,6775.259765625,6594.18994140625,6727.490234375,6727.490234375,267602500,^GDAXI
2001-01-25,6713.39990234375,6795.14013671875,6650.33984375,6704.68017578125,6704.68017578125,231033600,^GDAXI
2001-02-01,6709.89990234375,6750.990234375,6578.9599609375,6636.81005859375,6636.81005859375,200219100,^GDAXI
2001-02-08,6637.1298828125,6637.1298828125,6444.16015625,6591.669921875,6591.669921875,223712900,^GDAXI
2001-02-15,6587.4599609375,6587.4599609375,6216.52001953125,6277.990234375,6277.990234375,269778100,^GDAXI
2001-02-22,6279.27978515625,6312.10009765625,6071.35009765625,6123.3798828125,6123.3798828125,241002400,^GDAXI
2001-03-01,6123.58984375,6342.5400390625,6052.009765625,6267.06005859375,6267.06005859375,221687400,^GDAXI
2001-03-08,6264.22021484375,6264.22021484375,5663.5400390625,5889.9501953125,5889.9501953125,303440500,^GDAXI
2001-03-15,5881.6201171875,5907.06982421875,5351.47998046875,5388.02001953125,5388.02001953125,578097900,^GDAXI
2001-03-22,5396.6298828125,5938.2099609375,5396.6298828125,5879.2998046875,5879.2998046875,298003800,^GDAXI
2001-03-29,5870.10009765625,5944.25,5383.990234375,5773.33984375,5773.33984375,313233000,^GDAXI
2001-04-05,5790.93017578125,6019.259765625,5651.830078125,6002.2998046875,6002.2998046875,261921100,^GDAXI
2001-04-12,6004.31982421875,6224.2998046875,5827.6201171875,6181.91015625,6181.91015625,171096700,^GDAXI
2001-04-19,6176.18017578125,6198.169921875,6032.740234375,6123.66015625,6123.66015625,258528900,^GDAXI
2001-04-26,6116.830078125,6296.6201171875,6061.58984375,6089.169921875,6089.169921875,218223100,^GDAXI
2001-05-03,6096.6201171875,6222.240234375,6001.509765625,6165.18017578125,6165.18017578125,272823100,^GDAXI
2001-05-10,6161.52978515625,6226.580078125,5960.4599609375,6173.81005859375,6173.81005859375,260368500,^GDAXI
2001-05-17,6168.64013671875,6337.47021484375,6124.93994140625,6278.89990234375,6278.89990234375,246158200,^GDAXI
2001-05-24,6281.14013671875,6303.72021484375,5994.66015625,6123.259765625,6123.259765625,250907700,^GDAXI
2001-05-31,6122.9599609375,6278.0400390625,6054.169921875,6184.25,6184.25,272216000,^GDAXI
2001-06-07,6197.830078125,6266.1201171875,6017.0,6031.27001953125,6031.27001953125,263511000,^GDAXI
2001-06-14,6019.669921875,6022.75,5812.7001953125,5926.3798828125,5926.3798828125,709324600,^GDAXI
2001-06-21,5922.490234375,5971.77001953125,5758.68994140625,5971.77001953125,5971.77001953125,272429600,^GDAXI
2001-06-28,5976.02001953125,6131.97021484375,5947.93994140625,5999.18994140625,5999.18994140625,289661200,^GDAXI
2001-07-05,5992.990234375,5992.990234375,5731.85009765625,5889.8798828125,5889.8798828125,313077500,^GDAXI
2001-07-12,5889.2998046875,5932.64013671875,5707.08984375,5829.68994140625,5829.68994140625,276607300,^GDAXI
2001-07-19,5820.2900390625,5844.06982421875,5551.14013671875,5675.759765625,5675.759765625,291471400,^GDAXI
2001-07-26,5681.2998046875,5930.4501953125,5681.2998046875,5777.27978515625,5777.27978515625,265217700,^GDAXI
2001-08-02,5777.4501953125,5808.52978515625,5467.72021484375,5512.27978515625,5512.27978515625,357817500,^GDAXI
2001-08-09,5523.06005859375,5569.93017578125,5334.0400390625,5361.919921875,5361.919921875,326006200,^GDAXI
2001-08-16,5370.33984375,5416.14990234375,5124.68994140625,5254.0400390625,5254.0400390625,341523900,^GDAXI
2001-08-23,5268.7998046875,5455.1201171875,5157.66015625,5162.39990234375,5162.39990234375,292598600,^GDAXI
2001-08-30,5160.02001953125,5228.4501953125,4849.02978515625,4875.3701171875,4875.3701171875,338269800,^GDAXI
2001-09-06,4871.41015625,4910.93017578125,4130.52001953125,4392.39990234375,4392.39990234375,474741600,^GDAXI
2001-09-13,4385.8798828125,4441.169921875,3778.179931640625,3809.669921875,3809.669921875,494630100,^GDAXI
2001-09-20,3805.0,4186.0400390625,3539.179931640625,4184.5,4184.5,556164300,^GDAXI
2001-09-27,4197.35009765625,4549.89013671875,4157.60009765625,4548.1298828125,4548.1298828125,357579400,^GDAXI
2001-10-04,4537.52001953125,4742.18017578125,4330.5400390625,4718.4599609375,4718.4599609375,351786200,^GDAXI
2001-10-11,4720.60986328125,4779.64013671875,4493.83984375,4574.3701171875,4574.3701171875,343758600,^GDAXI
2001-10-18,4580.68017578125,4874.31005859375,4445.64013671875,4715.60009765625,4715.60009765625,352809200,^GDAXI
2001-10-25,4719.02978515625,4820.259765625,4457.72021484375,4636.1298828125,4636.1298828125,322068300,^GDAXI
2001-11-01,4641.35986328125,5005.9501953125,4568.64013671875,4993.56982421875,4993.56982421875,353124700,^GDAXI
2001-11-08,4990.81005859375,5073.25,4648.68017578125,5006.330078125,5006.330078125,429199200,^GDAXI
2001-11-15,5015.56005859375,5212.02978515625,4989.2099609375,5124.5400390625,5124.5400390625,357730500,^GDAXI
