,open,high,low,close,volume,intra-diff,inter-diff,intra-derivative,inter-derivative,1-rad,1-err,12-rad,12-err,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr
0,1788.8900146484375,1867.2900390625,1751.6199951171875,1821.2099609375,0,1.8067039350887202,0.0,26.5787353515625,-14.5799560546875,-1.0799562705345664,1.5335818180118022,-1.4844808688121176,0.9680952230097268,,,,,,,,,,,,,,,,,
1,1852.9200439453125,1939.8199462890625,1764.06005859375,1806.6300048828125,0,-2.4982210761743056,-0.8005642604316863,4.6112213134765625,72.77001953125,-1.5390236585489747,1.5420072804481155,-1.4979265207072099,0.926070594175932,,,,,,,,1751.6199951171875,,,,,,,,,
2,1796.1800537109375,1966.75,1796.1800537109375,1966.75,0,9.496261019971923,8.862910207647841,85.28497314453125,3.1400146484375,1.5414912310708027,1.5500715286847686,-1.4970290157010562,0.9373503307903165,,,,,,,,1755.383994140625,,,,,,,,,
3,1935.260009765625,1965.9100341796875,1812.9100341796875,1812.9100341796875,0,-6.322146635002033,-7.822039701045506,-26.756240844726562,-65.030029296875,-1.5515697732392348,1.5296555002333387,-1.4879970971283552,0.9725309406527731,,,,,,,,1763.8386343749999,,,,,,,,,
4,1835.81005859375,1920.8800048828125,1803.25,1836.68994140625,0,0.047928858891534754,1.3116981415640143,15.033706665039062,35.8800048828125,-1.4840507503272682,1.532811487950306,-1.4655369939900607,1.0187766809962235,1968.4589135203785,1848.83798828125,1729.2170630421217,1848.83798828125,,,,1771.9550889999998,,,,,,,,,
5,1850.239990234375,1911.0799560546875,1787.280029296875,1884.6700439453125,0,1.860842587591902,2.6123136767617314,28.386260986328125,43.11505126953125,-1.117139963302411,1.5366480034356191,-1.4058258582950782,1.0618731859233386,1980.1947396104115,1861.5300048828126,1742.8652701552137,1860.7820068359376,,,,1779.74688544,,,,,,,,,
6,1911.3399658203125,1962.219970703125,1902.3599853515625,1922.9200439453125,0,0.6058617688156821,2.029532974372988,11.825027465820312,-131.33001708984375,-1.1919348932625766,1.5011837603802465,-1.1205431735387366,1.061948882354042,1996.6869004253715,1884.7880126953125,1772.8891249652536,1881.4946858723958,,,,1787.2270100224,,,,,,,,,
7,1903.97998046875,1903.97998046875,1532.2900390625,1622.010009765625,0,-14.809502914715807,-15.64859834537381,-59.277496337890625,-297.47003173828125,-1.5625836326636515,1.554294284126126,1.1999765072802768,0.9432221604524998,2024.1034644065776,1815.8400146484375,1607.5765648902975,1794.9997938368056,,,,1966.75,,,,,,,,,
8,1620.1500244140625,1620.1500244140625,1327.97998046875,1327.97998046875,0,-18.033517855914464,-18.127510158791274,-73.04251098632812,-93.7550048828125,-1.5622398746849642,1.5465991585334389,1.3922502844424303,0.7292488660784344,2161.7395217523786,1718.85400390625,1275.9684860601214,1639.3265227141203,,,,1962.219970703125,,,,,,,32.089677520749774,47.4076696841312,
9,1405.6700439453125,1523.1700439453125,1402.550048828125,1434.5,0,2.0509760579211096,8.021206727352215,25.88873291015625,56.6099853515625,-1.2857772906349672,1.5382977763241161,1.4043683960191282,0.6385100062176311,2111.5375805316366,1638.416015625,1165.2944507183634,1571.0510151427468,,,,1936.85037109375,,,,,,,12.495276164064057,32.169840653721444,
10,1421.22998046875,1496.050048828125,1359.1800537109375,1441.199951171875,0,1.4051188743245133,0.46705829012722205,24.597488403320312,-22.57501220703125,-1.441582794583029,1.5379866498408459,1.3836483379802553,0.6617630880648951,1968.0281088613165,1549.7219970703125,1131.4158852793084,1527.7673271524561,,,,1912.4955554687501,,,,,-380.010009765625,,11.548729903390518,18.711227862734777,
11,1466.4000244140625,1527.3599853515625,1389.3499755859375,1389.3499755859375,0,-5.254367672212247,-3.5976947920222324,-11.64251708984375,-10.01995849609375,-1.543714435782401,1.5319110407038956,1.3353977279525941,0.6828908415863248,1639.4320215729904,1443.0079833984375,1246.5839452238847,1481.6282099636167,,,,1889.11493246875,,,,,-417.280029296875,,15.100234250449981,13.04808010596818,
12,1359.4300537109375,1421.1600341796875,1317.1700439453125,1421.1600341796875,0,4.540872132423517,2.2895641237071733,36.147491455078125,87.54998779296875,1.4482605417065162,1.5341240119884456,1.2215243690729294,0.6934880661320609,1485.7618973493995,1402.83798828125,1319.9140792131006,1461.4721513689735,,,,1866.6695343887502,,,,,-545.5899658203125,,20.942730594464706,15.863898249435062,
13,1417.52001953125,1606.06005859375,1417.52001953125,1564.449951171875,0,10.365280886065529,10.082602489936775,78.66622924804688,47.0799560546875,1.5311738253732838,1.551118718680481,0.8381831436737314,0.5900611079560908,1569.8869461628938,1450.131982421875,1330.377018680856,1495.7980846366074,,,,1833.699564962144,,,,,-248.4600830078125,,43.52448898459011,26.52248460983493,-61.93233720934822
14,1521.300048828125,1604.6700439453125,1499.260009765625,1515.3199462890625,0,-0.39309158924099435,-3.140401189952476,10.9337158203125,21.21002197265625,-1.4899033346935429,1.5298074863779292,0.8389378385024243,0.5594028402201271,1594.7492415978772,1466.2959716796875,1337.8427017614977,1502.3053718540925,,,,1802.707793701134,,,,,-321.3699951171875,39.25034500894213,62.836345812646265,42.434521797233685,-69.49568709797629
