,open,high,low,close,volume,intra-diff,inter-diff,intra-derivative,inter-derivative,1-rad,1-err,12-rad,12-err,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr,bb-upper,bb-middle,bb-lower,ema-cross,sma-cross,stoch-diff,sar-diff
0,1788.8900146484375,1867.2900390625,1751.6199951171875,1821.2099609375,0,1.80670393508872,0.0,26.5787353515625,-14.5799560546875,-1.0799562705345664,1.5335818180118022,-1.4844808688121176,0.9680952230097268,,,,,,,,,,,,,,,,,,,,,,,,
1,1852.9200439453125,1939.8199462890625,1764.06005859375,1806.6300048828125,0,-2.4982210761743056,-0.8005642604316863,4.6112213134765625,72.77001953125,-1.5390236585489747,1.5420072804481155,-1.49792652070721,0.926070594175932,,,,,,,,1751.6199951171875,,,,,,,,,,,,,,,,55.010009765625
2,1796.1800537109375,1966.75,1796.1800537109375,1966.75,0,9.496261019971923,8.862910207647841,85.28497314453125,3.1400146484375,1.5414912310708029,1.5500715286847686,-1.4970290157010562,0.9373503307903164,,,,,,,,1755.383994140625,,,,,,,,,,,,,,,,211.36600585937504
3,1935.260009765625,1965.9100341796875,1812.9100341796875,1812.9100341796875,0,-6.322146635002032,-7.822039701045506,-26.75624084472656,-65.030029296875,-1.5515697732392348,1.5296555002333387,-1.4879970971283552,0.9725309406527732,,,,,,,,1763.838634375,,,,,,,,,,,,,,,,49.07139980468742
4,1835.81005859375,1920.8800048828125,1803.25,1836.68994140625,0,0.04792885889153475,1.3116981415640143,15.033706665039062,35.8800048828125,-1.4840507503272682,1.5328114879503059,-1.4655369939900609,1.0187766809962235,1968.4589135203785,1848.83798828125,1729.2170630421215,1848.83798828125,,,,1771.9550889999996,,,,,,,,,,131.76897211412847,-12.148046875000091,107.47287836412852,,,,64.73485240625041
5,1850.239990234375,1911.0799560546875,1787.280029296875,1884.6700439453125,0,1.8608425875919017,2.6123136767617314,28.386260986328125,43.11505126953125,-1.1171399633024108,1.5366480034356191,-1.4058258582950782,1.0618731859233386,1980.1947396104115,1861.5300048828128,1742.8652701552137,1860.7820068359374,,,,1779.74688544,,,,,,,,,,95.52469566509899,23.14003906249968,141.8047737900988,,,,104.92315850531259
6,1911.3399658203125,1962.219970703125,1902.3599853515625,1922.9200439453125,0,0.6058617688156821,2.029532974372988,11.825027465820312,-131.33001708984378,-1.1919348932625766,1.5011837603802465,-1.1205431735387366,1.061948882354042,1996.6869004253715,1884.7880126953125,1772.8891249652536,1881.4946858723958,,,,1787.2270100224,,,,,,,,,,73.766856480059,38.132031249999955,150.0309189800589,,,,135.6930339229125
7,1903.97998046875,1903.97998046875,1532.2900390625,1622.010009765625,0,-14.809502914715807,-15.648598345373811,-59.27749633789063,-297.47003173828125,-1.5625836326636515,1.5542942841261258,1.1999765072802768,0.9432221604524998,2024.1034644065774,1815.840014648437,1607.5765648902975,1794.9997938368053,,,,1966.75,,,,,,,,,,402.09345464095236,-193.8300048828121,14.433444875327496,,,,-344.739990234375
8,1620.1500244140625,1620.1500244140625,1327.97998046875,1327.97998046875,0,-18.033517855914464,-18.127510158791274,-73.04251098632812,-93.7550048828125,-1.5622398746849642,1.5465991585334389,1.3922502844424305,0.7292488660784344,2161.7395217523786,1718.85400390625,1275.9684860601214,1639.3265227141205,,,,1962.219970703125,,,,,,,32.08967752074977,47.4076696841312,,833.7595412836286,-390.8740234375,52.01149440862855,,,-15.317992163381433,-634.239990234375
9,1405.6700439453125,1523.1700439453125,1402.550048828125,1434.5,0,2.0509760579211096,8.021206727352215,25.88873291015625,56.6099853515625,-1.2857772906349672,1.538297776324116,1.4043683960191282,0.6385100062176311,2111.5375805316366,1638.416015625,1165.2944507183636,1571.0510151427468,,,,1936.85037109375,,,,,,,12.495276164064055,32.169840653721444,,677.0375805316366,-203.916015625,269.2055492816364,,,-19.67456448965739,-502.35037109375
10,1421.22998046875,1496.050048828125,1359.1800537109375,1441.199951171875,0,1.405118874324513,0.4670582901272221,24.59748840332031,-22.57501220703125,-1.441582794583029,1.537986649840846,1.383648337980255,0.6617630880648951,1968.0281088613165,1549.7219970703125,1131.4158852793084,1527.7673271524561,,,,1912.49555546875,,,,,-380.010009765625,,11.548729903390518,18.711227862734773,,526.8281576894415,-108.52204589843745,309.78406589256656,,,-7.162497959344256,-471.2956042968749
11,1466.4000244140625,1527.3599853515625,1389.3499755859375,1389.3499755859375,0,-5.254367672212247,-3.5976947920222324,-11.64251708984375,-10.01995849609375,-1.5437144357824009,1.5319110407038956,1.335397727952594,0.6828908415863248,1639.4320215729904,1443.0079833984375,1246.5839452238847,1481.6282099636167,,,,1889.11493246875,,,,,-417.280029296875,,15.10023425044998,13.04808010596818,,250.08204598705288,-53.658007812500045,142.7660303620528,,,2.052154144481799,-499.7649568828126
12,1359.4300537109375,1421.1600341796875,1317.1700439453125,1421.1600341796875,0,4.540872132423517,2.2895641237071733,36.14749145507813,87.54998779296875,1.4482605417065162,1.5341240119884456,1.2215243690729294,0.6934880661320609,1485.7618973493993,1402.83798828125,1319.9140792131004,1461.4721513689733,,,,1866.6695343887507,,,,,-545.5899658203125,,20.942730594464702,15.863898249435062,,64.6018631697118,18.32204589843741,101.24595496658708,,,5.078832345029641,-445.50950020906316
