,open,high,low,close,volume,intra-diff,inter-diff,intra-derivative,inter-derivative,1-rad,1-err,3-rad,3-err,5-rad,5-err,20-rad,20-err,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr
0,2161.52001953125,2169.179931640625,2128.070068359375,2128.070068359375,0.0,-1.5475198411129683,0.0,-7.404998779296875,0.260009765625,-1.5002222272167278,1.4174460746266975,-0.9812187924555985,0.9017436536556115,1.0705770784334778,0.5938915127209659,0.890905614539003,0.1590467451238097,,,,,,,,,,,,,,,,,
1,2132.070068359375,2140.949951171875,2113.260009765625,2128.330078125,0.0,-0.17541591572799092,0.012218101719998969,2.058746337890625,7.97998046875,-1.3192366779930755,1.3969521892387482,1.2109247840956756,0.6372760505289238,1.3078478134998117,0.40659144016466753,0.675934189565666,0.1865037146361097,,,,,,,,2169.179931640625,,,,,,,,,
2,2133.10009765625,2144.219970703125,2132.02001953125,2144.030029296875,0.0,0.5123965655730032,0.7376652396749579,5.62371826171875,13.2149658203125,1.118673165590228,1.281834935374619,1.3414660307199096,0.7249473700546556,1.3115594373959456,0.4015018483423557,0.24440645969751984,0.19735558764885125,,,,,,,,2168.061533203125,,,,,,,,,
3,2150.4599609375,2158.56005859375,2147.860107421875,2154.760009765625,0.0,0.1999594926775749,0.5004584974152088,2.95001220703125,22.074951171875,0.21656893447813916,1.2011385116535367,1.3244340338369411,0.7819502653804676,1.322646185451753,0.40838031156484783,-0.30537093133724746,0.19899677241588976,,,,,,,,2166.9655027343747,,,,,,,,,
4,2159.2099609375,2190.8701171875,2158.580078125,2188.179931640625,0.0,1.341693083452923,1.5509811637276076,14.899993896484375,14.510009765625,1.3897182285095435,1.4589583862926219,1.2307097961084539,0.8307781312007714,1.3552167716872199,0.49909747100951035,-0.7182585123647287,0.19355560358300392,2193.015622595416,2148.6740234375,2104.3324242795843,2148.6740234375,,,,2113.260009765625,,,,,,,,,
5,2192.070068359375,2196.159912109375,2179.840087890625,2183.780029296875,0.0,-0.3781831238955134,-0.20107589326308734,-1.06878662109375,10.4949951171875,-1.3326265708149028,1.2361523779091579,1.3149802488476285,0.7492586603700355,1.3528382192343116,0.5866158410283085,-0.9095642139391436,0.17738078318251135,2205.815237382436,2159.816015625,2113.8167938675642,2160.3760253906253,,,,2114.8122119140626,,,,,,,,,
6,2190.320068359375,2210.800048828125,2182.389892578125,2209.169921875,0.0,0.8605981284618456,1.1626579709266753,10.619964599609375,21.9249267578125,1.2293424242278772,1.4369519838900957,1.4110213642423652,0.8459029740000115,1.160757569386957,0.722185714794673,-1.0368456559219792,0.16122550140872008,2223.1631173660694,2175.983984375,2128.804851383931,2176.6406575520837,,,,2118.0661199218753,,,,,,,,,
7,2217.550048828125,2227.6298828125,2215.139892578125,2227.6298828125,0.0,0.4545482069142808,0.83560620460704,5.3411865234375,28.7650146484375,1.0577266530986462,1.283449852851397,1.3060136113168201,1.0281604192604008,0.5154164884198699,0.6572615829814241,-1.1337060759862365,0.14278812654200485,2241.944545780928,2192.703955078125,2143.4633643753223,2193.6370659722224,,,,2123.6301556562503,,,,,,,,,
9,2233.0,2268.110107421875,2232.760009765625,2266.699951171875,0.0,1.5091782880373936,1.7538850892971045,17.056243896484375,4.6400146484375,1.419861220395168,1.4699614228318714,-1.2189826150511023,1.0222320840786174,0.08680332354306945,0.6677855781202725,-1.1836176570778854,0.12863241445486814,2275.4929305803134,2215.091943359375,2154.6909561384364,2217.9913610387734,,,,2131.95013382875,,,,,,,98.88110856931542,95.46350598750765,
10,2271.300048828125,2284.179931640625,2235.89990234375,2236.909912109375,0.0,-1.5141168484759886,-1.314247130375534,-6.861297607421875,-18.5399169921875,-1.5048638308475248,1.4469367270029132,-1.0831046292897237,1.010022775530213,0.7179051011742633,0.6741372566362885,-1.195034979827364,0.12264788475377696,2280.2433128958473,2224.837939453125,2169.4325660104023,2224.297544728974,,,,2145.5661311880626,,,,,,,84.46954604398631,92.56102435151796,
11,2234.830078125,2237.949951171875,2216.169921875,2229.6201171875,0.0,-0.23312559592320795,-0.3258868353353052,0.768768310546875,9.1900634765625,-1.3095944967881965,1.3546758421362686,1.2792546926848194,0.9127869790009536,0.759335052271395,0.669243135975905,-1.1910184286958723,0.12458774368502556,2271.465788999062,2234.00595703125,2196.546125063438,2226.0717355484826,,,,2162.19978724237,,,,,101.550048828125,,66.6027636110396,83.31780607478048,
12,2236.25,2258.169921875,2231.0400390625,2255.2900390625,0.0,0.8514271240916714,1.1513137003527174,10.53125,22.5,1.2489480875299512,1.4310853268033628,1.0897541736942535,0.9849193705955657,-1.0502624709809067,0.6748977292138159,-1.1843650140480353,0.13046073382319048,2273.7562868627847,2243.22998046875,2212.7036740747153,2235.811170053155,,,,2176.8374045701603,,,,,126.9599609375,,53.08354129589336,68.05195031697312,
14,2252.429931640625,2277.969970703125,2231.139892578125,2274.6201171875,0.0,0.9851665188409263,0.8570994324541649,14.175079345703125,-2.719970703125,1.1019038898788034,1.4865921954617791,-1.2075110779828202,1.0399881630242964,-1.2725624043882335,0.5804090863442479,-1.1555290863219652,0.14936915497702466,2286.864621083073,2252.62802734375,2218.391433604427,2248.7474857646034,,,,2189.718507818616,,,,,130.590087890625,,63.499347794733126,61.061884233888726,
15,2280.39990234375,2280.409912109375,2247.889892578125,2249.85009765625,0.0,-1.3396687421404252,-1.0889739057560692,-7.39117431640625,-25.5050048828125,-1.4904346486173266,1.3632306071275606,-1.4073156151097046,0.8275630546317746,-1.2044931106983259,0.5751715056685486,-1.0774389035556022,0.1814542306281196,2280.4746519580585,2249.258056640625,2218.0414613231915,2249.115023061819,,,,2201.053878677257,,,,,95.090087890625,,64.54025704485379,60.374382045160125,-20.085332129675127
